address,lat,lng,level
南投縣南投市永興里八卦路122號,23.895841,120.642048,門牌
南投縣南投市永豐里3鄰彰南路三段681號2樓,23.908688,120.680807,路名
南投縣南投市永豐里南崗三路61號,23.933218,120.665514,門牌
南投縣南投市永豐里工業北三路5號,23.926378,120.657583,門牌
南投縣南投市永豐里工業北二路11號,23.928311,120.658030,門牌
南投縣南投市永豐里工業北二路7號,23.927202,120.658671,門牌
南投縣南投市永豐里工業北二路8號,23.927547,120.659220,門牌
南投縣南投市永豐里工業北五路12號,23.924914,120.657086,門牌
南投縣南投市永豐里工業北路10號,23.930615,120.658367,門牌
南投縣南投市永豐里工業北路29號,23.925342,120.654481,門牌
南投縣南投市永豐里工業北路38號,23.920531,120.655369,門牌
南投縣南投市永豐里工業北路43之1號,23.921744,120.652802,門牌
南投縣南投市永豐里工業北路53號,23.920375,120.654043,門牌
南投縣南投市永豐里工業北路5號,23.930048,120.659459,門牌
南投縣南投市永豐里工業東路14-1號,23.930286,120.660609,路名
南投縣南投市永豐里工業東路33號,23.930948,120.658180,門牌
南投縣南投市永豐里工業路336號,23.928926,120.659865,門牌
南投縣南投市永豐里工業路37號,23.926196,120.660727,門牌
南投縣南投市永豐里工業路39號,23.926998,120.660076,門牌
南投縣南投市永豐里工業路47號,23.927998,120.659396,門牌
南投縣南投市永豐里工業路49號,23.928179,120.659268,門牌
南投縣南投市永豐里工業路53號,23.928648,120.659149,門牌
南投縣南投市永豐里彰南路三段500巷37號,23.908688,120.680807,路名
南投縣南投市永豐里成功三路126號,23.931251,120.668395,門牌
南投縣南投市永豐里成功三路182號,23.919874,120.658678,門牌
南投縣南投市永豐里自立一路1巷2弄36號1樓,23.933254,120.667742,門牌
南投縣南投市永豐里自立一路4巷20號一樓﹝現場不得堆棧﹞,23.932904,120.668676,門牌
南投縣南投市永豐里自立一路4巷24號﹝現場不得堆棧﹞,23.932732,120.668588,門牌
南投縣南投市永豐里自立一路9號,23.937523,120.666749,門牌
南投縣南投市永豐里自立三路13號,23.932456,120.662066,門牌
南投縣南投市永豐里自立三路18號,23.933017,120.662831,門牌
南投縣南投市永豐里自立二路15號,23.934714,120.663348,門牌
南投縣南投市漳和里復興路720巷2弄2號一樓,23.919512,120.680851,門牌
南投縣南投市漳和里文化路519號一樓,23.910136,120.675207,門牌
南投縣南投市漳興里復興路556號一樓,23.916267,120.683757,門牌
南投縣南投市營北里仁義南路77號,23.943511,120.693721,門牌
南投縣南投市營北里學府九街32號一樓,23.952721,120.685871,路名
南投縣南投市營南里東閔路1113巷16號一樓,23.948825,120.678254,門牌
南投縣南投市營南里營盤路260巷11號,23.949631,120.674862,門牌
南投縣南投市祖祠路391巷13號1樓,23.912129,120.674013,門牌
南投縣南投市福山里八卦路415號,23.909521,120.638475,門牌
南投縣南投市福山里八卦路568號1樓,23.911274,120.638686,門牌
南投縣南投市福興里南崗三路103號1樓,23.942211,120.663445,門牌
南投縣南投市福興里南崗三路280號,23.937575,120.665914,門牌
南投縣南投市福興里南崗三路294號,23.941444,120.664742,門牌
南投縣南投市福興里彰南路三段1248號一樓,23.908688,120.680807,路名
南投縣南投市福興里彰南路三段880巷26弄3號1樓,23.908688,120.680807,路名
南投縣南投市福興里彰南路三段999號,23.908688,120.680807,路名
南投縣南投市福興里永興路10號,24.004659,120.933052,門牌
南投縣南投市福興里永興路13號4樓,24.004621,120.932806,門牌
南投縣南投市福興里永興路19號,24.005430,120.931861,門牌
南投縣南投市福興里永興路2號,24.002827,120.931605,門牌
南投縣南投市福興里永興路3號,24.003118,120.931904,門牌
南投縣南投市福興里永興路7號,23.936733,120.661874,門牌
南投縣南投市自強三路1號,23.920182,120.669219,門牌
南投縣南投市自強二路21號,23.926959,120.667002,門牌
南投縣南投市自立一路8號,23.936442,120.668029,門牌
南投縣南投市軍功里東山路443巷39號4樓之8,23.914646,120.699398,門牌
南投縣南投市鳳鳴里八卦路870巷41之2號1樓,23.923252,120.640215,門牌
南投縣南投市龍泉里大同街132號,23.908826,120.687910,門牌
南投縣名間鄉中山村水尾巷2之2號1樓,23.850963,120.694568,門牌
南投縣名間鄉中正村小崎巷23-28號三樓,23.835796,120.698407,路名
南投縣名間鄉中正村小崎巷39之8號一樓,23.835787,120.696192,門牌
南投縣名間鄉南雅村南雲路9-7號,23.818058,120.708466,路名
南投縣名間鄉名松路一段659號,23.837429,120.653980,路名
南投縣名間鄉大庄村新大巷6之3號,23.880919,120.678290,門牌
南投縣名間鄉弓鞋巷7-1號,23.850730,120.626525,路名
南投縣名間鄉彰南路358之1號,23.908688,120.680807,路名
南投縣名間鄉彰南路361-136號2樓,23.908688,120.680807,路名
南投縣名間鄉新光村虎坑巷52-5號,23.859791,120.689574,路名
南投縣名間鄉新街村彰南路426之13號,23.878198,120.692496,門牌
南投縣名間鄉新街村彰南路559巷51號一樓,23.908688,120.680807,路名
南投縣名間鄉新街村彰南路568號1樓,23.908688,120.680807,路名
南投縣名間鄉松山村名松路2段25號,23.832300,120.640550,門牌
南投縣名間鄉濁水村下灣巷40弄18號1樓,23.836339,120.705617,門牌
南投縣名間鄉濁水村南雲路15巷60號,23.821364,120.706835,門牌
南投縣名間鄉濁水村員集路1-11號,23.832553,120.705030,路名
南投縣名間鄉竹圍村羗園巷5之6號一樓,23.855114,120.629946,路名
南投縣國姓鄉國姓村永興街96號1樓,24.040953,120.854692,門牌
南投縣國姓鄉福龜村中正路一段258號一樓,23.847921,120.932564,門牌
南投縣國姓鄉長福村大長路148之1號,24.089957,120.885641,門牌
南投縣國姓鄉長福村大長路258之6號,24.079454,120.880190,門牌
南投縣埔里鎮中正路142-10號1樓,23.952887,120.800530,路名
南投縣埔里鎮內埔路1-1號,23.984557,120.998713,路名
南投縣埔里鎮北安里明德北路7號1樓,23.972284,120.976761,門牌
南投縣埔里鎮北梅里西安路一段547號,24.002706,120.953884,路名
南投縣埔里鎮北梅里西安路一段555巷15號,24.002706,120.953884,路名
南投縣埔里鎮北門里北辰街100號3樓,23.966018,120.969646,門牌
南投縣埔里鎮北門里博愛路14號2樓,23.966913,120.973157,門牌
南投縣埔里鎮北門里忠孝路332號,23.965417,120.974891,門牌
南投縣埔里鎮史港里西安路2段450號,24.010853,120.955266,門牌
南投縣埔里鎮同聲里南盛街31號二樓,23.961371,120.968264,門牌
南投縣埔里鎮同聲里新生路15之1號,23.962384,120.965232,門牌
南投縣埔里鎮大城里中山三路61號,23.966753,120.956653,門牌
南投縣埔里鎮大城里中山路3段178號,23.968827,120.960156,門牌
南投縣埔里鎮大城里中山路三段737號,23.907932,120.901611,路名
南投縣埔里鎮大城里恒吉巷6號,23.974232,120.950626,門牌
南投縣埔里鎮大湳里虎山路29之1號一樓,23.975415,120.978576,門牌
南投縣埔里鎮崇文三街38號1樓,23.978510,120.996038,門牌
南投縣埔里鎮明德路64號1樓,23.971264,120.974819,門牌
南投縣埔里鎮東門里忠孝路101之6號,23.961990,120.970019,門牌
南投縣埔里鎮杷城里中正路275-1號,23.952887,120.800530,路名
南投縣埔里鎮杷城里東興一街57號1樓,23.958626,120.969184,門牌
南投縣埔里鎮枇杷里中山路一段461、465號,23.907932,120.901611,路名
南投縣埔里鎮枇杷里和平東路166號,23.960860,120.978991,門牌
南投縣埔里鎮枇杷里和平東路346號,23.968554,120.978481,門牌
南投縣埔里鎮枇杷里忠孝路369號1樓,23.965058,120.976344,門牌
南投縣埔里鎮枇杷里忠孝路415號,23.965059,120.977703,門牌
南投縣埔里鎮枇杷里樹人二街27號,23.960899,120.975702,門牌
南投縣埔里鎮桃米里桃米路10-5號1樓,23.949214,120.936633,路名
南投縣埔里鎮水頭里中正路101號,23.999037,121.081566,門牌
南投縣埔里鎮水頭里東潤路56之3號,23.942787,120.990381,門牌
南投縣埔里鎮泰安里民族三街72號一樓,23.966442,120.976094,路名
南投縣埔里鎮清新里南安路188號2樓,23.960131,120.962414,門牌
南投縣埔里鎮溪南里溪南巷3-6號1樓,23.957507,120.952107,路名
南投縣埔里鎮溪南里玉生路88號一樓,23.950706,120.953229,門牌
南投縣埔里鎮牛眠里成功路24-5號,23.959885,120.728175,路名
南投縣埔里鎮牛眠里成功路24之7號,23.995204,120.958377,門牌
南投縣埔里鎮珠格里隆生巷63號,23.947836,120.961161,門牌
南投縣埔里鎮福興里3鄰福興路230號一樓,24.007946,120.969499,門牌
南投縣埔里鎮蜈蚣里七賢一街30巷16號,23.975611,120.990805,門牌
南投縣埔里鎮蜈蚣里中山路一段140之1號,23.907932,120.901611,路名
南投縣埔里鎮蜈蚣里中山路一段198號一樓,23.907932,120.901611,路名
南投縣埔里鎮西寧路14號,23.965787,120.962456,門牌
南投縣埔里鎮西門里中正路527號一樓,23.969796,120.963946,門牌
南投縣埔里鎮鐵山路100巷12號1樓,23.974392,120.944285,門牌
南投縣埔里鎮鐵山路66巷3號,23.974001,120.944603,門牌
南投縣埔里鎮隆生路99之3號,23.955915,120.966055,門牌
南投縣水里鄉北埔村五福路270巷18號,23.811514,120.853169,門牌
南投縣水里鄉北埔村東三街90巷5號2樓,23.813441,120.854360,門牌
南投縣水里鄉北埔村玉山街69號一樓,23.813554,120.852622,門牌
南投縣水里鄉城中村市場街153號1樓,23.816404,120.850099,門牌
南投縣水里鄉文化路7巷21號1樓,23.800202,120.864952,門牌
南投縣水里鄉新城村民權路278號二樓,23.817174,120.851870,門牌
南投縣水里鄉新城村民權路422號,23.817460,120.849491,門牌
南投縣水里鄉民和村民和路187號1樓,23.797537,120.924085,門牌
南投縣水里鄉永豐村永豐一路43號1樓,23.806562,120.858188,路名
南投縣水里鄉永豐村永豐路229號1樓,23.804770,120.858382,門牌
南投縣水里鄉永豐村永豐路282號1樓,23.804673,120.858562,門牌
南投縣水里鄉永豐村永豐路289號2樓,23.805988,120.858086,門牌
南投縣水里鄉永豐村永豐路293號1樓,23.806065,120.858025,門牌
南投縣竹山鎮下坪里下坪路11之60號一樓,23.769847,120.681494,門牌
南投縣竹山鎮中和里前山路2段212號,23.765768,120.658615,門牌
南投縣竹山鎮中和里前山路2段398號,23.772720,120.653361,門牌
南投縣竹山鎮中央里集山路一段1197巷3號1樓,23.778348,120.704590,路名
南投縣竹山鎮中山里建國路114號,23.751047,120.676351,門牌
南投縣竹山鎮中山里新生路160巷58號一樓,23.753074,120.674416,門牌
南投縣竹山鎮中山里育才巷20號,23.753282,120.678849,門牌
南投縣竹山鎮大明路320號,23.760248,120.683724,門牌
南投縣竹山鎮山崇里南雲一路39號1樓,23.804719,120.712542,路名
南投縣竹山鎮延和里集山路3段705號一樓,23.759870,120.687961,門牌
南投縣竹山鎮延和里集山路3段782號1樓,23.760004,120.687548,門牌
南投縣竹山鎮延山里鹿山路452號,23.757268,120.705765,門牌
南投縣竹山鎮延平六路15號,23.768641,120.700141,門牌
南投縣竹山鎮延平路22號,23.768502,120.701126,門牌
南投縣竹山鎮延平里延平一路2號,23.766839,120.704076,門牌
南投縣竹山鎮延平里延平一路3之10號1樓,23.767004,120.704355,門牌
南投縣竹山鎮延平里延平三路11號,23.767942,120.701098,門牌
南投縣竹山鎮延平里延平三路23號,23.769749,120.701671,門牌
南投縣竹山鎮延平里延平五路1號,23.767210,120.701041,門牌
南投縣竹山鎮延平里集山路2段806號,23.778468,120.712105,門牌
南投縣竹山鎮延平里集山路二段1001號,23.778348,120.704590,路名
南投縣竹山鎮延正里延正路98-2號1樓,23.776711,120.698704,路名
南投縣竹山鎮延正里江西路38-12號,23.772045,120.701291,路名
南投縣竹山鎮延祥里集山路3段50巷4號,23.778348,120.704590,路名
南投縣竹山鎮延祥里集山路三段207巷46號,23.778348,120.704590,路名
南投縣竹山鎮延祥里鹿山路360號一樓,23.758556,120.703797,門牌
南投縣竹山鎮建國四路1巷4號1樓,23.752199,120.675356,門牌
南投縣竹山鎮桂林里大智路196號,23.756810,120.691961,門牌
南投縣竹山鎮硘磘里建國路718號,23.747973,120.679036,門牌
